age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid,c_jail_in,c_jail_out
23,F,Caucasian,Less than 25,Medium,Male,2,0,7,1,0,4/2/2013 2:25,4/15/2013 9:11
34,F,Caucasian,25 - 45,Medium,Female,1,-1,6,1,1,2/6/2013 10:06,2/19/2013 7:35
20,F,Caucasian,Less than 25,Medium,Male,1,-1,5,1,1,5/26/2014 5:28,5/27/2014 12:59
63,F,Other,Greater than 45,Low,Male,23,-1,4,1,1,3/29/2014 7:19,3/31/2014 8:47
36,M,African-American,25 - 45,Low,Female,0,0,1,0,0,3/20/2014 5:28,3/20/2014 10:13
58,F,Caucasian,Greater than 45,Low,Male,1,-1,1,0,0,4/2/2013 11:17,6/21/2013 10:09
35,F,Caucasian,25 - 45,Low,Female,4,-30,3,0,0,8/13/2013 8:23,8/27/2013 6:21
23,F,African-American,Less than 25,Medium,Male,3,-1,7,0,0,5/5/2013 5:12,5/6/2013 8:15
40,F,Caucasian,25 - 45,Low,Male,1,-21,1,0,0,12/2/2013 3:16,12/23/2013 11:40
31,F,Hispanic,25 - 45,Low,Male,3,-1,3,0,0,10/13/2013 3:10,10/14/2013 2:35
34,F,Hispanic,25 - 45,Low,Female,5,0,4,0,0,5/22/2013 1:22,5/23/2013 3:30
23,M,African-American,Less than 25,Medium,Male,3,-1,6,1,1,7/9/2014 3:32,7/22/2014 4:47
27,M,Caucasian,25 - 45,Low,Male,0,-5,3,1,1,5/18/2014 7:16,5/22/2014 9:08
26,F,African-American,25 - 45,Medium,Female,3,-27,5,0,0,4/20/2013 2:01,5/17/2013 10:53
49,F,African-American,Greater than 45,Low,Male,1,0,1,0,0,2/10/2013 2:43,3/7/2013 1:58
47,M,Hispanic,Greater than 45,Low,Female,0,0,1,0,0,8/25/2013 4:06,8/26/2013 7:32
47,F,African-American,Greater than 45,Low,Male,6,0,2,0,0,10/7/2013 3:07,10/12/2013 5:24
34,F,African-American,25 - 45,Medium,Male,7,0,6,1,1,4/20/2013 1:50,4/20/2013 7:14
27,F,African-American,25 - 45,High,Male,10,-1,9,0,0,2/28/2013 11:54,3/8/2013 8:37
52,M,Caucasian,Greater than 45,Low,Female,0,0,1,0,0,12/31/2013 12:19,12/31/2013 12:53
26,M,African-American,25 - 45,Low,Male,0,-3,3,1,1,11/14/2014 2:56,11/15/2014 2:21
25,F,African-American,25 - 45,Medium,Male,9,0,7,0,0,2/27/2013 4:07,3/1/2013 11:04
51,F,African-American,Greater than 45,Low,Male,1,-1,2,0,0,9/25/2013 9:56,3/7/2014 3:16
29,M,African-American,25 - 45,Low,Female,1,0,2,1,0,2/1/2013 2:58,2/1/2013 1:55
46,F,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,3/15/2014 5:47,3/16/2014 1:19
28,F,Caucasian,25 - 45,Low,Male,6,-2,4,0,0,1/4/2014 9:16,1/6/2014 11:05
57,F,African-American,Greater than 45,Low,Male,0,-1,1,0,0,2/7/2014 7:32,2/8/2014 9:00
23,F,Hispanic,Less than 25,Medium,Male,2,-1,5,0,0,1/17/2013 6:30,1/18/2013 1:51
34,F,African-American,25 - 45,High,Male,27,-1,9,1,1,1/12/2014 3:07,5/10/2014 5:12
27,F,African-American,25 - 45,Low,Male,3,-1,3,0,0,3/15/2014 3:18,3/27/2014 8:42
25,M,African-American,25 - 45,High,Male,7,-1,9,1,1,1/21/2014 8:22,1/24/2014 10:19
31,F,Caucasian,25 - 45,Medium,Male,1,-1,7,1,1,11/13/2014 5:26,12/16/2014 4:07
37,F,African-American,25 - 45,Low,Male,8,-1,2,0,0,3/20/2014 7:04,3/21/2014 8:33
51,F,African-American,Greater than 45,Low,Male,0,0,2,1,1,5/8/2013 2:42,5/9/2013 9:51
28,F,African-American,25 - 45,Medium,Male,8,-1,6,1,0,1/16/2013 11:54,2/26/2013 4:08
56,F,Caucasian,Greater than 45,Low,Male,4,0,1,0,0,1/16/2014 2:39,1/23/2014 10:04
45,F,African-American,Greater than 45,High,Male,15,-1,9,1,1,11/18/2013 7:33,10/15/2014 5:49
26,F,Caucasian,25 - 45,Medium,Male,7,-1,6,1,1,3/18/2013 7:27,4/5/2013 8:05
33,F,Caucasian,25 - 45,High,Male,7,-1,8,1,1,7/26/2014 3:22,7/27/2014 8:26
23,M,Caucasian,Less than 25,Low,Male,0,-2,4,0,0,9/1/2013 6:04,9/2/2013 8:50
31,M,African-American,25 - 45,Low,Male,0,0,2,0,0,9/30/2013 4:48,9/30/2013 8:01
31,M,Other,25 - 45,Low,Male,0,-1,3,0,0,2/18/2013 2:32,2/19/2013 6:53
19,F,Hispanic,Less than 25,High,Male,1,-12,9,1,0,9/11/2013 7:10,9/16/2013 6:40
32,F,Caucasian,25 - 45,Low,Male,0,0,1,0,0,3/1/2013 3:05,3/1/2013 8:05
30,M,Caucasian,25 - 45,Low,Male,1,-1,3,1,1,12/2/2013 6:06,12/3/2013 1:25
66,F,Caucasian,Greater than 45,Low,Male,1,-1,1,0,0,9/19/2013 10:18,9/20/2013 8:42
40,F,African-American,25 - 45,Low,Female,0,0,1,0,0,3/25/2014 12:36,3/25/2014 8:18
59,M,African-American,Greater than 45,Low,Male,4,0,2,0,0,8/2/2013 4:48,8/3/2013 4:06
27,M,African-American,25 - 45,Medium,Male,3,-23,7,0,0,9/25/2013 4:20,9/26/2013 9:32
22,F,African-American,Less than 25,Low,Male,0,-1,3,0,0,1/9/2013 8:21,1/10/2013 1:28
58,F,Caucasian,Greater than 45,Low,Male,1,-1,1,0,0,5/16/2013 1:20,5/17/2013 1:12
29,F,Caucasian,25 - 45,Low,Male,2,-2,3,0,0,1/4/2014 9:12,1/6/2014 11:05
27,F,African-American,25 - 45,High,Male,0,-1,8,1,1,11/12/2013 8:49,1/12/2014 7:13
24,F,Caucasian,Less than 25,Medium,Male,0,-3,5,0,0,3/1/2013 11:53,3/3/2013 1:39
35,F,Caucasian,25 - 45,Low,Female,3,0,4,0,0,9/16/2013 2:49,9/16/2013 7:49
29,F,African-American,25 - 45,High,Male,7,0,8,1,1,3/21/2013 1:34,3/23/2013 7:42
30,F,African-American,25 - 45,High,Male,5,-1,9,1,1,5/1/2013 1:32,5/3/2013 3:49
23,F,African-American,Less than 25,Low,Male,1,-1,2,1,0,1/17/2013 1:19,1/19/2013 9:27
32,F,Caucasian,25 - 45,Low,Male,2,-27,4,1,1,6/5/2014 11:53,6/6/2014 2:23
22,F,Caucasian,Less than 25,Medium,Male,2,-1,5,0,0,9/23/2013 9:01,9/27/2013 3:54
21,M,African-American,Less than 25,Low,Male,0,-1,3,0,0,12/27/2013 4:28,12/28/2013 8:24
43,M,Caucasian,25 - 45,Low,Female,0,-1,2,0,0,5/14/2013 12:38,5/14/2013 11:35
29,F,African-American,25 - 45,High,Male,0,-1,8,0,0,5/13/2013 7:26,5/16/2013 3:43
43,F,African-American,25 - 45,Low,Male,1,0,3,0,0,2/15/2014 3:04,2/17/2014 1:40
25,F,African-American,25 - 45,Low,Male,1,-1,2,0,0,3/28/2014 3:44,3/30/2014 4:49
47,M,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,10/8/2013 5:57,10/9/2013 8:10
21,F,African-American,Less than 25,Medium,Female,0,-2,5,0,0,4/23/2013 9:24,4/24/2013 1:57
54,M,Caucasian,Greater than 45,Low,Male,0,0,1,0,0,10/19/2013 12:42,10/19/2013 8:14
34,F,African-American,25 - 45,Low,Male,3,-1,1,1,1,2/6/2013 12:54,3/12/2013 9:26
28,M,African-American,25 - 45,Low,Female,2,-1,2,0,0,4/7/2013 6:55,4/8/2013 8:22
53,F,Caucasian,Greater than 45,Low,Female,4,-1,1,1,1,7/17/2013 3:05,7/17/2013 6:29
54,M,African-American,Greater than 45,Low,Male,0,0,1,0,0,1/31/2013 12:10,1/31/2013 7:49
37,F,Hispanic,25 - 45,Low,Male,3,-1,1,1,1,4/18/2013 2:12,7/10/2013 12:13
34,F,African-American,25 - 45,Low,Male,2,-1,4,0,0,10/29/2013 5:28,10/30/2013 2:05
60,F,Caucasian,Greater than 45,Low,Female,0,-1,1,1,1,6/22/2014 7:29,6/23/2014 8:57
22,F,African-American,Less than 25,Low,Male,0,-1,4,0,0,2/5/2014 6:45,2/6/2014 8:17
51,F,African-American,Greater than 45,Medium,Male,3,0,7,0,0,1/22/2014 12:07,1/22/2014 8:34
29,F,African-American,25 - 45,Low,Male,0,-1,2,1,1,12/4/2013 11:27,12/17/2013 11:21
28,M,African-American,25 - 45,Medium,Male,5,-1,6,0,0,1/23/2013 11:19,2/20/2013 7:44
33,F,Caucasian,25 - 45,Low,Male,0,-1,1,1,1,3/10/2013 4:42,3/11/2013 3:41
43,M,Caucasian,25 - 45,Low,Male,4,0,2,0,0,5/5/2013 3:19,5/7/2013 10:46
45,M,Hispanic,Greater than 45,Medium,Male,1,-1,6,0,0,12/28/2013 11:13,1/24/2014 5:22
32,F,Caucasian,25 - 45,Medium,Male,5,-1,5,1,1,5/14/2014 7:11,7/18/2014 8:41
35,F,African-American,25 - 45,Low,Female,0,-1,3,1,1,2/13/2013 10:36,2/15/2013 8:39
23,F,African-American,Less than 25,Low,Male,1,-1,4,1,1,4/18/2014 4:41,4/19/2014 8:57
41,M,Hispanic,25 - 45,Low,Male,1,-1,1,0,0,3/31/2013 7:44,7/23/2013 7:27
25,F,Other,25 - 45,High,Male,24,-1,10,1,1,8/18/2014 10:49,8/19/2014 7:37
35,F,Hispanic,25 - 45,High,Male,12,-1,9,0,0,2/10/2014 2:02,2/20/2014 10:54
25,F,African-American,25 - 45,Medium,Male,4,0,6,1,1,4/12/2013 2:27,5/25/2013 8:22
69,F,Caucasian,Greater than 45,Low,Male,6,-1,2,1,1,10/21/2014 8:03,10/22/2014 8:13
24,M,Asian,Less than 25,Low,Male,0,-1,3,0,0,2/26/2014 3:41,2/27/2014 8:32
28,F,Hispanic,25 - 45,Low,Male,0,-1,4,0,0,8/25/2013 1:21,8/25/2013 8:19
47,F,African-American,Greater than 45,Medium,Male,23,-1,7,1,1,1/22/2013 1:33,3/1/2014 11:25
29,F,African-American,25 - 45,High,Male,13,0,10,1,1,12/8/2014 12:41,12/10/2014 5:10
26,F,African-American,25 - 45,High,Male,9,-1,8,1,1,3/5/2014 9:51,3/8/2014 1:29
31,M,Other,25 - 45,Low,Male,0,-1,1,0,0,2/28/2014 9:25,3/3/2014 4:49
28,F,Caucasian,25 - 45,Medium,Male,0,0,7,0,0,4/7/2013 2:56,4/8/2013 3:59
48,M,Caucasian,Greater than 45,Low,Male,1,0,1,1,1,12/24/2013 1:37,12/24/2013 7:38
44,M,Caucasian,25 - 45,Low,Male,0,-1,1,0,0,4/18/2013 2:39,4/18/2013 7:19
42,M,African-American,25 - 45,Medium,Male,7,-1,5,0,0,5/10/2013 7:11,5/11/2013 6:30
39,F,African-American,25 - 45,Medium,Male,5,-1,7,0,0,5/22/2013 2:25,5/26/2013 2:44
46,F,Hispanic,Greater than 45,Low,Female,2,-1,1,0,0,12/17/2013 3:27,12/20/2013 7:38
55,M,Caucasian,Greater than 45,Medium,Male,0,-1,5,0,0,8/25/2013 6:52,9/4/2013 8:36
27,F,African-American,25 - 45,High,Male,5,-1,9,1,1,11/8/2013 4:23,11/12/2013 10:03
31,M,Caucasian,25 - 45,High,Female,0,-1,9,0,0,11/10/2013 5:13,11/15/2013 3:36
25,F,African-American,25 - 45,Low,Male,0,-1,2,0,0,9/17/2013 7:20,9/18/2013 1:35
32,M,Caucasian,25 - 45,Medium,Male,6,0,7,0,0,2/6/2014 4:39,2/6/2014 8:49
36,F,African-American,25 - 45,Medium,Male,2,-1,5,0,0,3/10/2013 7:15,3/11/2013 1:32
21,F,African-American,Less than 25,Medium,Male,3,-1,7,1,1,11/9/2013 2:29,11/13/2013 9:54
39,M,Caucasian,25 - 45,Low,Male,2,0,4,0,0,12/22/2013 12:50,12/22/2013 8:44
26,M,African-American,25 - 45,Low,Female,0,0,2,0,0,8/1/2013 12:06,8/1/2013 7:33
28,F,African-American,25 - 45,High,Male,8,0,8,1,1,3/6/2013 2:21,3/26/2013 9:13
67,M,Caucasian,Greater than 45,Low,Male,2,-4,1,1,1,7/3/2014 1:49,7/3/2014 8:41
22,F,Other,Less than 25,Low,Female,0,-1,4,0,0,1/31/2013 4:40,2/2/2013 12:53
37,M,Caucasian,25 - 45,Low,Male,3,-1,1,0,0,4/21/2013 7:57,4/22/2013 3:57
23,M,African-American,Less than 25,High,Male,2,-1,8,1,1,2/2/2013 6:32,2/4/2013 9:12
49,M,African-American,Greater than 45,Medium,Female,14,-1,7,1,1,4/9/2014 1:43,8/9/2014 3:21
32,M,Caucasian,25 - 45,Medium,Male,9,0,7,1,1,4/14/2013 12:36,4/19/2013 10:22
41,M,Caucasian,25 - 45,Medium,Male,9,-1,6,0,0,1/11/2013 8:17,2/13/2013 5:54
25,M,African-American,25 - 45,Low,Male,1,0,3,0,0,4/1/2013 1:23,4/1/2013 2:19
58,M,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,12/9/2013 10:34,12/10/2013 1:12
44,M,African-American,25 - 45,High,Male,19,-17,9,1,1,8/3/2014 1:39,8/20/2014 11:15
28,F,African-American,25 - 45,Low,Male,1,0,4,1,0,5/27/2013 12:20,6/12/2013 10:12
39,F,African-American,25 - 45,Medium,Female,0,-1,5,1,1,11/7/2013 3:39,11/9/2013 7:36
54,F,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,12/24/2013 11:18,12/31/2013 4:10
43,M,Caucasian,25 - 45,Low,Male,0,-1,4,0,0,11/12/2013 9:31,11/13/2013 3:53
31,M,African-American,25 - 45,High,Male,5,0,10,0,0,9/5/2013 1:39,9/5/2013 7:44
30,F,African-American,25 - 45,High,Male,11,0,10,0,0,2/3/2013 2:23,5/31/2013 5:51
27,M,Caucasian,25 - 45,Low,Male,4,-1,4,1,1,10/13/2013 3:17,10/14/2013 5:58
28,M,African-American,25 - 45,Low,Male,0,-1,2,1,1,12/29/2013 5:26,12/30/2013 8:22
24,M,African-American,Less than 25,Medium,Male,0,-1,7,0,0,4/14/2013 10:11,4/15/2013 3:52
43,M,Caucasian,25 - 45,Low,Male,0,0,1,0,0,2/13/2014 4:10,2/13/2014 12:52
44,M,African-American,25 - 45,Low,Male,10,-7,4,1,1,2/19/2014 5:23,2/24/2014 8:43
24,F,Hispanic,Less than 25,High,Male,11,-15,10,1,1,3/12/2013 11:19,3/13/2013 1:53
23,F,African-American,Less than 25,Low,Male,0,-1,3,0,0,1/9/2013 5:06,1/11/2013 3:18
36,M,Caucasian,25 - 45,Low,Male,5,-1,3,1,1,10/15/2014 12:03,10/16/2014 2:21
27,F,Caucasian,25 - 45,High,Male,1,-1,9,0,0,1/1/2014 4:41,1/2/2014 8:10
24,F,African-American,Less than 25,High,Male,0,0,10,1,1,3/2/2013 2:07,3/3/2013 9:02
66,M,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,4/6/2013 11:23,4/7/2013 1:22
36,F,Caucasian,25 - 45,Low,Female,3,0,4,0,0,11/14/2013 4:58,12/9/2013 9:49
53,F,Hispanic,Greater than 45,High,Male,9,-1,8,1,1,11/8/2014 2:17,3/18/2015 10:15
23,F,Caucasian,Less than 25,Low,Male,1,0,3,1,1,2/22/2013 1:47,2/22/2013 9:23
22,M,African-American,Less than 25,Medium,Female,0,0,7,1,1,10/29/2014 1:41,10/29/2014 7:55
25,F,Hispanic,25 - 45,Low,Male,1,-1,3,0,0,10/5/2013 7:50,10/6/2013 7:37
56,F,African-American,Greater than 45,Low,Male,4,-1,1,0,0,2/13/2013 4:09,2/15/2013 5:28
51,F,Asian,Greater than 45,Low,Male,1,-1,1,1,1,8/1/2014 5:01,8/2/2014 9:04
58,M,African-American,Greater than 45,Low,Female,3,-18,1,0,0,2/1/2014 2:52,2/19/2014 11:14
24,M,Caucasian,Less than 25,Medium,Male,3,0,5,0,0,5/2/2013 1:33,5/2/2013 4:51
22,F,African-American,Less than 25,Low,Male,0,-1,3,1,1,4/11/2013 5:01,6/21/2013 5:27
39,M,Caucasian,25 - 45,Low,Male,0,-1,1,0,0,1/12/2014 7:47,1/13/2014 2:23
20,F,Hispanic,Less than 25,High,Male,3,-1,10,1,1,12/11/2014 9:23,1/22/2015 11:56
46,F,Caucasian,Greater than 45,Medium,Male,10,-1,7,1,1,2/24/2014 3:50,5/8/2014 6:32
38,F,Caucasian,25 - 45,Low,Male,1,-27,1,1,1,7/23/2013 11:40,7/24/2013 7:27
23,M,Caucasian,Less than 25,High,Male,0,0,8,1,1,12/15/2013 5:17,12/18/2013 6:00
39,F,Other,25 - 45,Medium,Male,6,-1,5,0,0,2/1/2014 7:53,2/27/2014 9:58
25,F,African-American,25 - 45,High,Male,0,0,8,0,0,9/19/2013 4:53,9/21/2013 1:36
31,F,African-American,25 - 45,High,Male,19,-1,9,1,1,3/15/2014 6:33,3/16/2014 2:03
25,M,African-American,25 - 45,Low,Female,1,-1,3,1,1,11/21/2014 11:11,11/22/2014 8:51
26,F,African-American,25 - 45,Medium,Male,6,-1,6,0,0,8/21/2013 12:18,8/23/2013 4:24
25,F,African-American,25 - 45,High,Male,2,-1,9,0,0,1/7/2013 7:36,10/8/2013 11:00
37,F,Caucasian,25 - 45,High,Male,11,0,8,1,1,2/6/2014 3:06,2/7/2014 3:35
36,F,African-American,25 - 45,Low,Male,0,-3,1,0,0,12/6/2013 5:42,12/7/2013 2:22
26,F,African-American,25 - 45,Medium,Male,1,0,6,1,1,3/20/2013 5:00,3/21/2013 2:39
21,F,Other,Less than 25,Low,Male,3,-1,2,1,1,11/11/2014 9:06,11/12/2014 1:13
35,F,African-American,25 - 45,Low,Male,7,-23,4,1,1,9/9/2013 2:47,9/9/2013 7:07
22,F,African-American,Less than 25,Low,Male,2,-1,4,1,1,8/20/2013 11:12,8/22/2013 7:39
25,F,Caucasian,25 - 45,Low,Male,0,0,2,0,0,5/11/2013 1:13,5/11/2013 6:35
36,M,Hispanic,25 - 45,Low,Male,0,-7,1,0,0,11/5/2013 7:01,11/6/2013 8:05
24,M,African-American,Less than 25,Medium,Male,2,-1,7,1,1,1/14/2013 11:05,1/26/2013 12:04
21,F,African-American,Less than 25,High,Male,0,-1,9,1,1,3/14/2013 12:34,3/15/2013 7:44
32,F,Caucasian,25 - 45,High,Male,15,-1,9,1,1,11/21/2013 7:42,1/31/2014 5:11
33,M,African-American,25 - 45,Low,Male,2,0,2,1,1,5/12/2013 12:11,5/12/2013 7:36
33,F,African-American,25 - 45,High,Male,10,0,9,1,1,2/4/2014 2:43,2/6/2014 9:29
29,M,Caucasian,25 - 45,Low,Male,0,-2,3,0,0,7/6/2013 1:44,7/7/2013 1:34
50,F,Caucasian,Greater than 45,Low,Male,8,-1,3,0,0,9/15/2013 11:12,3/7/2014 3:16
33,F,African-American,25 - 45,High,Male,14,-1,8,1,1,7/31/2014 7:35,8/2/2014 9:05
37,F,African-American,25 - 45,High,Male,13,-1,8,1,1,10/16/2013 7:57,10/17/2013 7:41
27,F,African-American,25 - 45,Medium,Male,9,-1,7,1,1,5/12/2014 1:24,6/5/2014 9:17
27,M,African-American,25 - 45,Low,Male,0,-1,1,0,0,4/28/2013 8:51,4/29/2013 12:45
21,M,Hispanic,Less than 25,Medium,Male,1,-1,5,1,1,2/15/2013 11:10,2/16/2013 1:18
58,F,African-American,Greater than 45,Low,Male,1,-1,1,0,0,5/18/2013 8:22,7/18/2013 8:18
27,F,African-American,25 - 45,High,Male,4,-1,8,0,0,3/11/2013 8:04,4/13/2013 8:56
28,F,Caucasian,25 - 45,Medium,Male,1,-1,7,1,1,9/30/2013 6:15,10/31/2013 2:34
31,M,Caucasian,25 - 45,Low,Female,0,-5,3,0,0,5/31/2013 11:07,6/1/2013 8:46
24,M,African-American,Less than 25,Medium,Male,3,-1,7,0,0,1/20/2013 11:28,1/27/2013 2:04
26,F,African-American,25 - 45,High,Male,6,0,9,1,1,3/23/2013 3:31,4/10/2013 5:03
43,M,Caucasian,25 - 45,Low,Male,0,-1,1,0,0,10/8/2013 5:27,10/9/2013 8:26
22,F,African-American,Less than 25,Medium,Male,3,0,6,1,1,10/7/2013 12:36,10/9/2013 5:46
23,F,African-American,Less than 25,Medium,Male,0,-1,5,0,0,8/26/2013 3:02,8/29/2013 4:55
42,M,Caucasian,25 - 45,Low,Male,0,-1,4,0,0,10/15/2013 10:30,10/16/2013 8:02
30,M,African-American,25 - 45,High,Male,18,-1,10,0,0,8/18/2013 7:29,9/5/2013 4:16
29,F,African-American,25 - 45,High,Male,1,-1,9,0,0,1/8/2013 6:02,10/25/2013 8:31
38,F,Caucasian,25 - 45,Low,Male,2,0,4,1,1,8/1/2013 12:26,9/18/2013 9:20
26,M,Caucasian,25 - 45,Low,Male,3,-4,4,1,0,4/11/2013 1:25,4/13/2013 8:03
51,M,African-American,Greater than 45,Medium,Male,5,0,7,0,0,2/22/2013 12:10,2/27/2013 5:48
36,M,Other,25 - 45,Low,Male,0,0,1,0,0,8/1/2013 12:11,8/1/2013 8:31
62,M,Hispanic,Greater than 45,Low,Male,0,-2,1,0,0,11/4/2013 1:53,11/5/2013 7:23
23,F,African-American,Less than 25,Low,Male,0,0,3,1,1,9/12/2014 2:05,9/12/2014 9:11
34,F,African-American,25 - 45,Medium,Male,7,-1,5,1,1,4/8/2013 9:28,4/9/2013 2:03
35,M,African-American,25 - 45,Low,Male,1,-1,2,0,0,2/25/2014 2:40,2/26/2014 9:09
22,F,Caucasian,Less than 25,Low,Male,0,0,3,0,0,5/24/2013 4:43,5/28/2013 2:26
29,M,African-American,25 - 45,High,Male,10,-1,10,1,1,1/11/2013 9:11,4/30/2013 2:02
40,F,African-American,25 - 45,Low,Male,0,-3,2,0,0,8/2/2013 7:56,8/3/2013 8:03
36,F,African-American,25 - 45,Low,Male,2,0,2,0,0,2/6/2014 6:31,2/7/2014 4:00
26,F,African-American,25 - 45,High,Male,8,0,8,1,1,3/20/2013 1:21,3/20/2013 7:46
25,F,African-American,25 - 45,Low,Male,1,-23,3,1,1,6/29/2013 2:51,6/30/2013 2:38
69,M,Caucasian,Greater than 45,Low,Male,0,-3,1,0,0,7/7/2013 11:26,7/8/2013 8:36
27,F,African-American,25 - 45,Low,Male,1,-1,4,0,0,1/24/2014 4:31,2/1/2014 4:57
20,F,Caucasian,Less than 25,Medium,Male,0,0,5,1,1,8/26/2013 1:19,8/27/2013 7:23
27,F,African-American,25 - 45,Low,Male,1,-2,1,0,0,10/2/2013 3:21,10/4/2013 12:05
24,M,African-American,Less than 25,Medium,Female,6,-1,6,0,0,1/30/2013 7:28,12/6/2013 7:37
42,F,Caucasian,25 - 45,Low,Male,0,-7,1,0,0,7/10/2013 8:16,7/13/2013 3:05
25,F,Caucasian,25 - 45,Low,Male,1,-1,3,0,0,10/15/2013 4:42,10/16/2013 11:36
25,F,African-American,25 - 45,Low,Male,0,-1,4,0,0,11/27/2013 9:02,12/4/2013 10:11
22,F,African-American,Less than 25,Low,Male,0,-1,3,0,0,3/6/2013 8:19,3/7/2013 6:09
21,F,Caucasian,Less than 25,Low,Male,0,-1,4,0,0,2/5/2013 7:50,2/6/2013 2:23
30,M,African-American,25 - 45,Low,Male,1,0,2,0,0,9/8/2013 6:44,9/10/2013 3:35
46,M,Caucasian,Greater than 45,Medium,Male,9,0,5,0,0,11/16/2013 2:06,11/20/2013 5:42
26,M,African-American,25 - 45,Medium,Male,2,0,7,0,0,1/17/2013 5:17,1/17/2013 7:05
33,F,African-American,25 - 45,Medium,Male,0,0,5,1,1,2/7/2013 12:36,2/8/2013 8:31
40,M,African-American,25 - 45,Low,Male,1,-1,1,0,0,8/28/2013 6:36,8/29/2013 7:57
34,F,Caucasian,25 - 45,Low,Male,0,-1,4,0,0,10/2/2013 7:42,10/30/2013 9:15
22,F,Caucasian,Less than 25,Low,Male,1,-1,2,1,1,6/22/2014 12:47,7/29/2014 5:31
28,M,Hispanic,25 - 45,Medium,Male,3,-1,5,0,0,2/15/2013 7:09,2/16/2013 1:16
31,M,African-American,25 - 45,Low,Male,4,-1,3,1,1,8/11/2013 1:32,8/12/2013 1:59
59,M,Caucasian,Greater than 45,Low,Male,3,0,1,1,1,5/1/2014 4:27,5/2/2014 11:39
37,F,Native American,25 - 45,Low,Male,0,-1,2,0,0,2/9/2013 11:48,2/10/2013 8:32
50,F,African-American,Greater than 45,Low,Male,0,-1,1,0,0,2/22/2014 1:33,2/24/2014 2:04
57,F,African-American,Greater than 45,Medium,Male,8,-1,5,1,1,7/31/2013 5:54,11/8/2013 3:35
31,M,African-American,25 - 45,Medium,Male,5,-1,5,1,0,4/15/2013 9:48,4/16/2013 7:51
44,F,African-American,25 - 45,High,Male,9,-28,8,0,0,7/8/2013 3:02,8/2/2013 11:00
48,F,African-American,Greater than 45,High,Male,5,-1,9,1,1,1/3/2013 12:33,9/3/2013 6:19
25,F,Caucasian,25 - 45,Low,Female,0,-1,4,0,0,1/18/2014 6:18,1/19/2014 8:45
51,M,African-American,Greater than 45,Low,Male,5,-1,3,0,0,7/31/2013 4:28,7/31/2013 9:19
50,F,Caucasian,Greater than 45,Low,Male,0,-1,1,1,1,10/9/2014 12:45,10/10/2014 8:55
57,F,Caucasian,Greater than 45,Low,Male,2,-11,1,0,0,11/7/2013 1:02,11/9/2013 2:40
55,M,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,12/8/2013 10:00,12/9/2013 8:45
59,F,African-American,Greater than 45,Low,Male,4,-2,3,1,1,11/13/2013 7:46,11/14/2013 8:09
42,F,African-American,25 - 45,Low,Female,0,0,1,0,0,3/25/2014 3:00,3/25/2014 8:06
20,F,Hispanic,Less than 25,High,Male,2,-21,8,1,1,11/20/2013 9:51,12/11/2013 11:31
21,F,Other,Less than 25,Low,Male,0,-1,4,0,0,4/19/2013 11:52,5/18/2013 8:03
32,F,African-American,25 - 45,High,Male,21,-1,9,1,1,4/6/2013 3:12,6/9/2013 4:42
24,M,Hispanic,Less than 25,Low,Female,0,0,4,0,0,9/4/2013 1:32,9/4/2013 1:46
42,F,African-American,25 - 45,Low,Male,1,0,4,0,0,8/18/2013 1:50,8/19/2013 3:46
29,F,African-American,25 - 45,High,Male,8,-1,8,1,1,7/17/2014 12:12,7/31/2014 9:34
21,F,African-American,Less than 25,Medium,Male,1,-1,6,0,0,5/24/2013 4:57,6/1/2013 4:53
58,M,Caucasian,Greater than 45,Low,Male,0,0,1,0,0,10/3/2013 2:20,10/3/2013 7:55
22,F,African-American,Less than 25,Medium,Male,1,0,7,1,1,6/22/2014 4:50,6/23/2014 3:37
46,M,Caucasian,Greater than 45,Low,Male,1,-1,1,1,1,12/10/2013 6:50,12/11/2013 1:30
50,M,Caucasian,Greater than 45,Low,Male,0,0,2,1,1,2/11/2014 3:13,2/25/2014 10:45
46,F,African-American,Greater than 45,High,Male,2,-1,9,0,0,2/25/2013 8:20,2/26/2013 6:41
44,F,African-American,25 - 45,High,Female,11,-1,8,1,1,11/5/2014 1:39,11/20/2014 9:26
35,M,African-American,25 - 45,Medium,Male,4,-1,5,0,0,1/16/2013 10:14,2/15/2013 1:55
30,F,African-American,25 - 45,High,Male,14,-1,9,1,1,4/30/2013 2:58,5/2/2013 4:38
42,F,African-American,25 - 45,Medium,Male,2,-1,5,0,0,11/18/2013 5:25,11/19/2013 2:03
46,F,African-American,Greater than 45,Low,Male,5,-1,1,1,1,1/5/2013 1:19,7/26/2013 3:18
42,F,African-American,25 - 45,High,Male,0,0,10,1,1,10/4/2014 3:36,11/7/2014 4:56
29,F,Caucasian,25 - 45,High,Male,7,-1,10,1,1,5/22/2014 1:26,5/23/2014 1:41
